source_kind,csv_path,window_index,trip_id,segment_id,window_id,timestamp,anomaly_type,risk_score,risk_level,prediction_confidence,estimated_cycles_to_failure,estimated_failure_probability,key_signal_count,notes,has_proxy_decisions_path,proxy_decisions_path,has_proxy_provenance_note,selected_for_eval,selection_reason
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,0,trip_0001,trip_0001_seg_001,trip_0001_seg_001__w000,2017-07-05T05:26:37Z,cooling_degradation,1.0,High,0.6534,,0.0031,5,Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.,True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,False,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,1,trip_0001,trip_0001_seg_001,trip_0001_seg_001__w001,2017-07-05T05:36:45Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,True,window_representative_intake_air_temperature_sensor_fault
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,2,trip_0001,trip_0001_seg_001,trip_0001_seg_001__w002,2017-07-05T05:46:53Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,3,trip_0001,trip_0001_seg_001,trip_0001_seg_001__w003,2017-07-05T05:57:01Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,4,trip_0001,trip_0001_seg_001,trip_0001_seg_001__w004,2017-07-05T06:07:09Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,5,trip_0001,trip_0001_seg_001,trip_0001_seg_001__w005,2017-07-05T06:17:17Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,6,trip_0002,trip_0002_seg_001,trip_0002_seg_001__w000,2017-07-05T17:27:26Z,cooling_degradation,1.0,High,0.6464,,0.0031,5,Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.,True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,False,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,7,trip_0002,trip_0002_seg_001,trip_0002_seg_001__w001,2017-07-05T17:37:34Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,8,trip_0002,trip_0002_seg_001,trip_0002_seg_001__w002,2017-07-05T17:47:42Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,False,
feature_proxy_pair,prompt_eval_iat_20260802__4s3_iat_low_range__high_fault,9,trip_0002,trip_0002_seg_001,trip_0002_seg_001__w003,2017-07-05T17:57:50Z,intake_air_temperature_sensor_fault,0.9,High,0.9,,0.0031,5,"intake_air_temperature_sensor_fault forwarded from Data Layer proxy_decisions.csv: 4-S3 triggered, DTC P0113, confidence high | Failure estimate is a linear projection of trip-level mean risk to the High-risk threshold (0.9000); it is not a calibrated probability of mechanical failure. | estimated_failure_probability is the model-based probability of crossing that threshold within the next 10 trips. | No positive trip-level risk trend was observed; no threshold crossing cycle is projected.",True,data/processed/runs/prompt_eval_iat_20260802__4s3_iat_low_range__high_fault/proxy/70_decisions/proxy_decisions.csv,True,False,
